metabolite,pval,padj,py.value,comparison,FC,log2FC
Allopurinol,0.179,0.231072727,0.63625131,PBS vs A. fumigatus wt + Cortisone acetate,1.125148284,0.170115148
Arginine,6.34E-05,0.000346262,3.460595746,PBS vs A. fumigatus wt + Cortisone acetate,0.733820468,-0.446500949
Asparagine,0.00851,0.017263143,1.762880136,PBS vs A. fumigatus wt + Cortisone acetate,0.790754348,-0.338698511
Aspartic acid,0.00269,0.006585862,2.181387369,PBS vs A. fumigatus wt + Cortisone acetate,0.735998724,-0.442224831
Betaine,4.38E-05,0.00025915,3.586448787,PBS vs A. fumigatus wt + Cortisone acetate,0.635287345,-0.654518815
Butyrylcarnitine,0.0105,0.020708333,1.683854853,PBS vs A. fumigatus wt + Cortisone acetate,1.467595974,0.553454852
Carnitine,0.000394,0.0013987,2.854275425,PBS vs A. fumigatus wt + Cortisone acetate,0.721562357,-0.470804019
Choline,0.0689,0.104082979,0.982620287,PBS vs A. fumigatus wt + Cortisone acetate,0.885340117,-0.1756963
Clomazone,0.0427,0.070504651,1.151782232,PBS vs A. fumigatus wt + Cortisone acetate,1.651453685,0.72373651
Creatinine,0.158,0.219960784,0.65765474,PBS vs A. fumigatus wt + Cortisone acetate,1.053849956,0.075669476
Cystine,0.24,0.279344262,0.553860245,PBS vs A. fumigatus wt + Cortisone acetate,0.911840758,-0.133146198
Cytidine,5.63E-07,7.99E-06,5.097203261,PBS vs A. fumigatus wt + Cortisone acetate,0.575658169,-0.796715714
D-Glucose 6-phosphate,0.000459,0.001551857,2.80914826,PBS vs A. fumigatus wt + Cortisone acetate,2.240765839,1.163991895
Dehydronorketamine,0.129,0.18318,0.737121945,PBS vs A. fumigatus wt + Cortisone acetate,1.588923086,0.66804929
Galactosamine/Glucosamine,0.0503,0.079362222,1.10038618,PBS vs A. fumigatus wt + Cortisone acetate,0.932804589,-0.100353209
Glutamic acid,0.000152,0.000634824,3.197346985,PBS vs A. fumigatus wt + Cortisone acetate,0.814931957,-0.295248489
Glycerol 3-phosphate,0.000179,0.000706056,3.151161125,PBS vs A. fumigatus wt + Cortisone acetate,1.521714176,0.605697402
Glycine,0.00685,0.014304412,1.844529997,PBS vs A. fumigatus wt + Cortisone acetate,0.762600705,-0.391000229
Guanosine,0.24,0.279344262,0.553860245,PBS vs A. fumigatus wt + Cortisone acetate,0.89684335,-0.15707208
Histidine,0.0191,0.034771795,1.458772891,PBS vs A. fumigatus wt + Cortisone acetate,0.856938985,-0.222735609
Homoarginine,0.0116,0.022259459,1.652485386,PBS vs A. fumigatus wt + Cortisone acetate,0.737905807,-0.438491425
Hypoxanthine,1.64E-05,0.000129378,3.888140313,PBS vs A. fumigatus wt + Cortisone acetate,0.779358739,-0.35964054
Inosine,0.08,0.115918367,0.935847744,PBS vs A. fumigatus wt + Cortisone acetate,1.247428288,0.318956881
Isovalerylcarnitine,2.99E-05,0.000192991,3.714463148,PBS vs A. fumigatus wt + Cortisone acetate,1.665980507,0.736371521
Ketamine,0.494,0.528791045,0.276715908,PBS vs A. fumigatus wt + Cortisone acetate,1.155437689,0.20843946
Lactic acid,0.00108,0.003195,2.495529138,PBS vs A. fumigatus wt + Cortisone acetate,1.524778166,0.608599366
Lysine,0.227,0.27787931,0.556143788,PBS vs A. fumigatus wt + Cortisone acetate,0.952448681,-0.070286734
Methionine sulfoxide,1.23E-09,8.73E-08,7.05883654,PBS vs A. fumigatus wt + Cortisone acetate,2.653054849,1.407654502
Methylimidazoleacetic acid,0.0463,0.074711364,1.126613337,PBS vs A. fumigatus wt + Cortisone acetate,1.209619349,0.274553122
"N3,N4-Dimethyl-L-arginine",0.169,0.222203704,0.653248706,PBS vs A. fumigatus wt + Cortisone acetate,0.972697114,-0.039937458
