seqID,barcode,libType,extID,libID,sampleID,extractionMethod,concExt,concAmp,concLib,tissueConc,sampleVol,sampleTreatment,notes,sampleName,sampleType,sampleGroup,sampleGroup2,rawReads,filtReads,OTUs,ratioPhylum,ratioClass,ratioOrder,ratioFamily,ratioGenus,ratioSpecies
18100FL-24-06-69,174,abV4-C,EXT-CP941b-77-B,LIB-CP941b-77-B-1,SA-CP941b-77,molzym ultra deep microbiome,0.584967802,0.062489485,0.172750488,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,80,lung tissue,5,5,49535,34739,145,145,145,145,141,125,12
18100FL-24-06-68,173,abV4-C,EXT-CP941b-76-B,LIB-CP941b-76-B-1,SA-CP941b-76,molzym ultra deep microbiome,0.755788232,0.060086043,0.165239597,66.67,0.58,A fumigatus wt_Cortisone acetate_Voriconazol,less volume,79,lung tissue,5,5,53797,37315,135,135,135,135,134,121,9
18100FL-24-06-67,172,abV4-C,EXT-CP941b-75-B,LIB-CP941b-75-B-1,SA-CP941b-75,molzym ultra deep microbiome,0.336725163,0.070901531,0.575834961,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,78,lung tissue,5,5,60865,49631,199,198,198,197,196,184,11
18100FL-24-06-66,171,abV4-C,EXT-CP941b-74-B,LIB-CP941b-74-B-1,SA-CP941b-74,molzym ultra deep microbiome,0.437496928,0.060086043,0.226578539,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,77,lung tissue,5,5,51288,42168,111,111,111,111,111,107,7
18100FL-24-06-65,170,abV4-C,EXT-CP941b-73-B,LIB-CP941b-73-B-1,SA-CP941b-73,molzym ultra deep microbiome,0.855331072,0.072103252,0.235341245,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,75,lung tissue,5,5,49684,30689,142,142,142,142,142,127,9
18100FL-24-06-64,169,abV4-C,EXT-CP941b-72-B,LIB-CP941b-72-B-1,SA-CP941b-72,molzym ultra deep microbiome,0.725065133,0.061287764,0.156476891,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,74,lung tissue,5,5,38440,22659,119,119,119,119,119,114,5
18100FL-24-06-63,168,abV4-C,EXT-CP941b-71-B,LIB-CP941b-71-B-1,SA-CP941b-71,molzym ultra deep microbiome,0.53458192,0.079313577,0.245355766,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,73,lung tissue,5,5,58378,33038,133,133,133,133,133,123,5
18100FL-24-06-62,167,abV4-C,EXT-CP941b-70-B,LIB-CP941b-70-B-1,SA-CP941b-70,molzym ultra deep microbiome,0.448557243,0.08412046,0.937609534,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,71,lung tissue,5,5,86028,72029,106,106,106,106,106,98,5
18100FL-24-06-61,166,abV4-C,EXT-CP941b-69-B,LIB-CP941b-69-B-1,SA-CP941b-69,molzym ultra deep microbiome,0.406773829,0.067296368,0.32922738,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,70,lung tissue,5,5,62734,51407,119,119,119,116,116,109,7
18100FL-24-06-60,165,abV4-C,EXT-CP941b-68-B,LIB-CP941b-68-B-1,SA-CP941b-68,molzym ultra deep microbiome,0.265447574,0.058884322,0.063842572,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,69,lung tissue,5,5,26976,21318,93,93,93,92,92,86,2
18100FL-24-06-59,164,abV4-C,EXT-CP941b-67-B,LIB-CP941b-67-B-1,SA-CP941b-67,molzym ultra deep microbiome,0.379737502,0.078111856,0.547043213,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,68,lung tissue,5,5,59898,48208,135,135,135,134,133,129,7
18100FL-24-06-58,163,abV4-C,EXT-CP941b-66-B,LIB-CP941b-66-B-1,SA-CP941b-66,molzym ultra deep microbiome,0.237182323,0.061287764,0.103900656,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,67,lung tissue,5,5,35810,29988,51,51,51,48,43,39,4
18100FL-24-06-57,162,abV4-C,EXT-CP941b-65-B,LIB-CP941b-65-B-1,SA-CP941b-65,molzym ultra deep microbiome,0.303544217,0.102146273,0.734815482,66.67,0.75,A fumigatus wt_Cortisone acetate_Voriconazol,,66,lung tissue,5,5,56783,44674,163,163,163,162,161,154,4
18100FL-24-06-56,161,abV4-C,EXT-CP941b-64-B,LIB-CP941b-64-B-1,SA-CP941b-64,molzym ultra deep microbiome,0.458388635,0.112961761,0.669721096,66.67,0.75,A fumigatus wt_Cortisone acetate,,65,lung tissue,4,4,106969,90736,174,174,174,173,169,154,7
18100FL-24-06-55,160,abV4-C,EXT-CP941b-63-B,LIB-CP941b-63-B-1,SA-CP941b-63,molzym ultra deep microbiome,1.050729981,0.130987574,0.782384457,66.67,0.75,A fumigatus wt_Cortisone acetate,,64,lung tissue,4,4,102847,78978,164,164,164,164,163,148,7
18100FL-24-06-54,159,abV4-C,EXT-CP941b-62-B,LIB-CP941b-62-B-1,SA-CP941b-62,molzym ultra deep microbiome,0.094627144,0.057682601,0.309198338,66.67,0.75,A fumigatus wt_Cortisone acetate,,63,lung tissue,4,4,49033,38832,121,121,121,121,121,105,4
18100FL-24-07-09,158,abV4-C,EXT-CP941b-61-B,LIB-CP941b-61-B-1,SA-CP941b-61,molzym ultra deep microbiome,0.605859509,0.117768645,1.382003906,66.67,0.75,A fumigatus wt_Cortisone acetate,,62,lung tissue,4,4,42979,34693,163,163,163,163,161,149,6
18100FL-24-07-08,157,abV4-C,EXT-CP941b-60-B,LIB-CP941b-60-B-1,SA-CP941b-60,molzym ultra deep microbiome,0.788969179,0.098541111,1.067798308,66.67,0.75,A fumigatus wt_Cortisone acetate,,61,lung tissue,4,4,45269,36537,165,165,165,165,159,147,8
18100FL-24-06-53,156,abV4-C,EXT-CP941b-59-B,LIB-CP941b-59-B-1,SA-CP941b-59,molzym ultra deep microbiome,1.070392764,0.100944553,0.51950328,66.67,0.75,A fumigatus wt_Cortisone acetate,,60,lung tissue,4,4,60594,47342,159,157,157,156,155,134,7
18100FL-24-07-07,155,abV4-C,EXT-CP941b-58-B,LIB-CP941b-58-B-1,SA-CP941b-58,molzym ultra deep microbiome,1.690999361,0.722234239,11.31265335,66.67,0.75,A fumigatus wt_Cortisone acetate,,59,lung tissue,4,4,84957,72681,124,124,124,121,121,108,6
18100FL-24-06-52,154,abV4-C,EXT-CP941b-57-B,LIB-CP941b-57-B-1,SA-CP941b-57,molzym ultra deep microbiome,0.670992479,0.088927344,0.878774223,66.67,0.75,A fumigatus wt_Cortisone acetate,,58,lung tissue,4,4,96562,84342,172,172,172,171,168,149,6
18100FL-24-06-51,153,abV4-C,EXT-CP941b-56-B,LIB-CP941b-56-B-1,SA-CP941b-56,molzym ultra deep microbiome,0.678366023,0.092532507,0.783636273,66.67,0.75,A fumigatus wt_Cortisone acetate,,57,lung tissue,4,4,81762,65650,140,140,140,140,140,128,9
18100FL-24-06-50,152,abV4-C,EXT-CP941b-55-B,LIB-CP941b-55-B-1,SA-CP941b-55,molzym ultra deep microbiome,0.489111734,0.078111856,0.194031345,66.67,0.75,A fumigatus wt_Cortisone acetate,,56,lung tissue,4,4,44808,34360,162,158,158,158,156,141,3
